Frame,Time,Temperature,Arduino_Line,Distance,CircleLeft_X,CircleLeft_Y,CircleLeft_Radius,CircleRight_X,CircleRight_Y,CircleRight_Radius
207.0,2387474.0,591.5,11888.0,988.03,500.5,668.5,175.0,1488.5,675.5,172.8000030517578
208.0,2387474.0,591.5,11888.0,990.0,500.5,668.5,175.0,1490.5,670.5,175.0
209.0,2387474.0,591.5,11888.0,990.0,499.5,670.5,169.5,1490.5,670.5,175.0
210.0,2387474.0,591.5,11888.0,986.02,504.5,667.5,175.0,1490.5,673.5,177.1999969482422
211.0,2387474.0,591.5,11888.0,988.01,504.5,667.5,175.0,1491.5,672.5,177.1999969482422
212.0,2387474.0,591.5,11888.0,988.0,504.5,667.5,175.0,1491.5,669.5,175.0
213.0,2387474.0,591.5,11888.0,988.0,504.5,667.5,175.0,1492.5,670.5,175.0
214.0,2387474.0,591.5,11888.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
215.0,2387474.0,591.5,11888.0,992.02,1490.5,673.5,177.1999969482422,498.5,668.5,174.89999389648438
216.0,2387474.0,591.5,11888.0,994.03,500.5,668.5,175.0,1493.5,676.5,173.89999389648438
217.0,2387676.0,591.6,11889.0,990.02,1490.5,673.5,177.1999969482422,500.5,668.5,175.0
218.0,2387676.0,591.6,11889.0,990.02,500.5,668.5,175.0,1490.5,673.5,177.1999969482422
219.0,2387676.0,591.6,11889.0,990.0,1490.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
220.0,2387676.0,591.6,11889.0,992.02,1489.5,673.5,177.1999969482422,498.5,668.5,175.0
221.0,2387676.0,591.6,11889.0,992.02,500.5,672.5,170.60000610351562,1491.5,677.5,172.8000030517578
222.0,2387676.0,591.6,11889.0,988.03,500.5,668.5,175.0,1488.5,675.5,172.8000030517578
223.0,2387676.0,591.6,11889.0,990.05,1488.5,675.5,172.8000030517578,498.5,666.5,172.8000030517578
224.0,2387676.0,591.6,11889.0,986.01,1490.5,672.5,177.1999969482422,504.5,667.5,175.0
225.0,2387676.0,591.6,11889.0,986.03,501.5,667.5,175.0,1487.5,676.5,173.89999389648438
226.0,2387676.0,591.6,11889.0,992.0,1491.5,672.5,177.1999969482422,500.5,672.5,170.60000610351562
227.0,2387676.0,591.6,11889.0,990.0,500.5,672.5,170.60000610351562,1490.5,673.5,177.1999969482422
228.0,2387676.0,591.6,11889.0,990.02,1490.5,673.5,177.1999969482422,500.5,668.5,175.0
229.0,2387877.0,591.6,11890.0,990.02,1490.5,673.5,177.1999969482422,500.5,668.5,175.0
230.0,2387877.0,591.6,11890.0,988.0,1490.5,673.5,177.1999969482422,501.5,672.5,170.60000610351562
231.0,2387877.0,591.6,11890.0,990.0,1491.5,672.5,177.1999969482422,501.5,672.5,170.60000610351562
232.0,2387877.0,591.6,11890.0,992.02,1490.5,673.5,177.1999969482422,498.5,668.5,175.0
233.0,2387877.0,591.6,11890.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.89999389648438
234.0,2387877.0,591.6,11890.0,990.0,1490.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
235.0,2387877.0,591.6,11890.0,990.0,1490.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
236.0,2387877.0,591.6,11890.0,992.02,1490.5,673.5,177.1999969482422,498.5,668.5,175.0
237.0,2387877.0,591.6,11890.0,990.0,1490.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
238.0,2387877.0,591.6,11890.0,990.0,1490.5,673.5,177.1999969482422,499.5,671.5,169.5
239.0,2387877.0,591.6,11890.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
240.0,2387877.0,591.6,11890.0,984.02,1490.5,673.5,177.1999969482422,505.5,667.5,175.0
241.0,2387877.0,591.6,11890.0,994.03,1494.5,676.5,172.8000030517578,499.5,667.5,175.0
242.0,2388104.0,591.6,11891.0,990.0,500.5,672.5,170.60000610351562,1489.5,673.5,178.3000030517578
243.0,2388104.0,591.6,11891.0,990.0,1490.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
244.0,2388104.0,591.6,11891.0,992.0,1492.5,674.5,175.0,499.5,671.5,169.5
245.0,2388104.0,591.6,11891.0,990.0,1490.5,672.5,177.1999969482422,500.5,670.5,169.5
246.0,2388104.0,591.6,11891.0,1000.03,1491.5,671.5,175.0,492.5,664.5,168.39999389648438
247.0,2388104.0,591.6,11891.0,992.0,1491.5,670.5,175.0,499.5,670.5,169.5
248.0,2388104.0,591.6,11891.0,988.01,1491.5,670.5,175.0,503.5,666.5,172.8000030517578
249.0,2388104.0,591.6,11891.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
250.0,2388104.0,591.6,11891.0,992.0,1491.5,670.5,175.0,499.5,667.5,175.0
251.0,2388104.0,591.6,11891.0,992.0,1491.5,670.5,175.0,499.5,671.5,169.5
252.0,2388104.0,591.6,11891.0,986.0,1491.5,670.5,175.0,505.5,667.5,175.0
253.0,2388104.0,591.6,11891.0,992.0,1492.5,674.5,175.0,500.5,672.5,170.60000610351562
254.0,2388104.0,591.6,11891.0,990.0,500.5,672.5,170.60000610351562,1490.5,670.5,175.0
255.0,2388305.0,591.6,11892.0,992.0,500.5,672.5,170.60000610351562,1492.5,674.5,175.0
256.0,2388305.0,591.6,11892.0,988.01,504.5,667.5,175.0,1491.5,671.5,175.0
257.0,2388305.0,591.6,11892.0,988.0,504.5,667.5,175.0,1491.5,670.5,175.0
258.0,2388305.0,591.6,11892.0,990.0,1492.5,670.5,175.0,501.5,672.5,170.60000610351562
