READ_NUMBER	READ_TIMER	READ_INTERVAL	READ_EXT_TEMP	READ_INT_TEMP	READ_CURRENT	READ_VOLTAGE	READ_HEAT	READ_POWER	READ_ON
334	67547	193	30.0	238.1	0.000575	0.151505	-1.10	0.0001	1
335	67740	193	30.0	238.1	0.001213	0.138248	-1.10	0.0002	1
336	67933	193	30.0	238.1	0.000438	0.147717	-1.10	0.0001	1
337	68125	192	30.0	238.1	0.001238	0.147717	-1.10	0.0002	1
338	68318	193	30.0	238.0	0.000500	0.147717	-1.10	0.0001	1
339	68536	218	30.0	238.0	0.000638	0.143929	-1.10	0.0001	1
340	68728	192	30.0	238.1	0.000838	0.143929	2.62	0.0001	1
341	68925	197	30.0	238.0	0.001225	0.142036	2.62	0.0002	1
342	69116	191	30.0	238.1	0.000450	0.145823	2.62	0.0001	1
343	69308	192	30.0	238.1	0.001238	0.142036	2.62	0.0002	1
344	69499	191	30.0	238.1	0.000438	0.147717	2.62	0.0001	1
345	69691	192	30.0	238.1	0.001275	0.149611	2.62	0.0002	1
346	69882	191	30.0	238.1	0.000475	0.143929	2.62	0.0001	1
347	70074	192	30.0	238.1	0.001150	0.151505	2.62	0.0002	1
348	70265	191	30.0	238.1	0.000413	0.147717	2.62	0.0001	1
349	70458	193	30.0	238.1	0.001200	0.147717	2.62	0.0002	1
350	70651	193	30.0	238.2	0.000525	0.143929	2.57	0.0001	1
351	70844	193	30.0	238.1	0.001150	0.143929	2.57	0.0002	1
352	71035	191	30.0	238.1	0.000500	0.142036	2.57	0.0001	1
353	71227	192	30.0	238.1	0.001200	0.147717	2.57	0.0002	1
354	71418	191	30.0	238.1	0.000475	0.143929	2.57	0.0001	1
355	71610	192	30.0	238.1	0.001238	0.147717	2.57	0.0002	1
356	71801	191	30.0	238.1	0.000438	0.145823	2.57	0.0001	1
357	71993	192	30.0	238.1	0.001238	0.147717	2.57	0.0002	1
358	72187	194	30.0	238.1	0.000800	0.145823	2.57	0.0001	1
359	72379	192	30.0	238.2	0.000913	0.149611	2.57	0.0001	1
360	72570	191	30.0	238.1	0.000738	0.145823	-2.50	0.0001	1
361	72763	193	30.0	238.1	0.000863	0.147717	-2.50	0.0001	1
362	72955	192	30.0	238.1	0.000813	0.155292	-2.50	0.0001	1
363	73148	193	30.0	238.1	0.000563	17.322660	-2.50	0.0097	1
364	73341	193	30.0	238.1	0.001313	16.260232	-2.50	0.0213	1
365	73536	195	30.0	238.1	0.000600	15.337953	-2.50	0.0092	1
366	73730	194	30.0	238.1	0.000900	14.481949	-2.50	0.0130	1
367	73926	196	30.0	238.1	0.001000	13.677080	-2.50	0.0137	1
368	74120	194	30.0	238.1	0.000700	12.934707	-2.50	0.0091	1
369	74314	194	30.0	238.1	0.000738	12.233999	-2.50	0.0090	1
370	74508	194	30.0	238.1	0.001000	11.578741	1.07	0.0116	1
371	74706	198	30.0	238.1	0.000975	10.942422	1.07	0.0107	1
