DISTANCE,TEMPERATURE,TIME
978.0,603.2,-141858.35499000002
980.03,603.2,-141841.67166000002
978.0,603.2,-141824.98833000002
984.0,603.2,-141808.30500000002
980.02,603.2,-141791.62167000002
974.02,603.2,-141774.93834000002
978.01,603.2,-141758.25501000002
976.01,603.2,-141741.57168000002
980.01,603.2,-141724.88835000002
982.03,603.2,-141708.20502000002
978.01,603.2,-141691.52169000002
976.02,603.2,-141674.83836000002
982.01,603.2,-141658.15503000002
988.0,603.2,-141641.47170000002
978.01,603.3,-141624.78837000002
978.01,603.3,-141608.10504000002
986.0,603.3,-141591.42171000002
982.0,603.3,-141574.73838000002
988.0,603.3,-141558.05505000002
988.01,603.3,-141541.37172000002
978.01,603.3,-141524.68839000002
976.01,603.3,-141508.00506000002
980.0,603.3,-141491.32173000003
982.0,603.3,-141474.63840000003
980.01,603.3,-141457.95507000003
978.01,603.3,-141441.27174000003
986.0,603.3,-141424.58841000003
986.0,603.3,-141407.90508000003
984.0,603.3,-141391.22175000003
986.0,603.3,-141374.53842000003
976.01,603.3,-141357.85509000003
976.01,603.3,-141341.17176000003
978.0,603.3,-141324.48843000003
984.02,603.3,-141307.80510000003
984.01,603.3,-141291.12177000003
988.0,603.3,-141274.43844000003
986.0,603.3,-141257.75511000003
986.0,603.3,-141241.07178000003
978.0,603.3,-141224.38845
984.0,603.3,-141207.70512
982.0,603.3,-141191.02179
976.02,603.3,-141174.33846
984.01,603.3,-141157.65513
980.01,603.3,-141140.9718
984.0,603.3,-141124.28847
984.0,603.3,-141107.60514
984.0,603.3,-141090.92181
978.02,603.3,-141074.23848
976.02,603.3,-141057.55515
976.02,603.3,-141040.87182
984.01,603.3,-141024.18849
978.03,603.3,-141007.50516
982.0,603.3,-140990.82183
982.0,603.3,-140974.1385
982.02,603.3,-140957.45517
988.0,603.3,-140940.77184
978.02,603.3,-140924.08851
980.0,603.3,-140907.40518
978.0,603.3,-140890.72185
978.0,603.3,-140874.03852
976.01,603.3,-140857.35519
984.0,603.3,-140840.67186
986.0,603.4,-140823.98853
986.0,603.4,-140807.3052
980.01,603.4,-140790.62187
980.0,603.4,-140773.93854
976.01,603.4,-140757.25521
976.01,603.4,-140740.57188
978.02,603.4,-140723.88855
978.0,603.4,-140707.20522
988.0,603.4,-140690.52189
984.01,603.4,-140673.83856
988.0,603.4,-140657.15523
980.01,603.4,-140640.4719
970.02,603.4,-140623.78857
978.01,603.4,-140607.10524
988.0,603.4,-140590.42191
988.0,603.4,-140573.73858
984.0,603.4,-140557.05525
984.0,603.4,-140540.37192
980.0,603.4,-140523.68859
984.0,603.4,-140507.00526
976.02,603.4,-140490.32193
976.02,603.4,-140473.6386
986.01,603.4,-140456.95527
984.0,603.4,-140440.27194
986.0,603.5,-140423.58861
986.0,603.5,-140406.90528
978.01,603.5,-140390.22195
978.0,603.5,-140373.53862
976.02,603.5,-140356.85529
976.02,603.5,-140340.17196
978.02,603.5,-140323.48863
986.0,603.5,-140306.8053
980.0,603.5,-140290.12197
980.0,603.5,-140273.43864
978.0,603.5,-140256.75531
978.02,603.5,-140240.07198
980.0,603.5,-140223.38865
980.0,603.5,-140206.70532
982.02,603.5,-140190.02199
980.01,603.5,-140173.33866
980.01,603.5,-140156.65533
978.02,603.5,-140139.972
972.01,603.5,-140123.28867
972.03,603.5,-140106.60534
978.0,603.5,-140089.92201
978.0,603.5,-140073.23868
980.01,603.5,-140056.55535
968.02,603.5,-140039.87202
976.02,603.5,-140023.18869
976.02,603.5,-140006.50536
986.0,603.5,-139989.82203
974.01,603.5,-139973.1387
986.0,603.5,-139956.45537
978.0,603.5,-139939.77204
980.01,603.5,-139923.08871
980.0,603.5,-139906.40538
980.0,603.5,-139889.72205
978.0,603.5,-139873.03872
978.01,603.5,-139856.35539
974.01,603.5,-139839.67206
978.01,603.5,-139822.98873
978.02,603.5,-139806.3054
984.0,603.5,-139789.62207
978.0,603.5,-139772.93874
980.01,603.5,-139756.25541
986.0,603.5,-139739.57208
984.03,603.5,-139722.88875
976.0,603.5,-139706.20542
978.0,603.5,-139689.52209
978.0,603.5,-139672.83876
980.01,603.5,-139656.15543
980.0,603.5,-139639.4721
978.01,603.6,-139622.78877
984.0,603.6,-139606.10544
976.0,603.6,-139589.42211
978.0,603.6,-139572.73878
978.0,603.6,-139556.05545
978.01,603.6,-139539.37212
984.0,603.6,-139522.68879000001
984.0,603.6,-139506.00546000001
984.0,603.6,-139489.32213000002
978.0,603.6,-139472.63880000002
980.0,603.6,-139455.95547000002
980.0,603.6,-139439.27214000002
982.0,603.6,-139422.58881000002
980.0,603.6,-139405.90548000002
988.0,603.6,-139389.22215000002
988.0,603.6,-139372.53882000002
986.01,603.6,-139355.85549000002
988.0,603.6,-139339.17216000002
986.0,603.6,-139322.48883000002
980.0,603.6,-139305.80550000002
978.0,603.6,-139289.12217000002
