Size,Temperature
0.9392,583.33
0.9391,583.33
0.9391,583.34
0.939,583.35
0.9389,583.35
0.9389,583.36
0.9388,583.36
0.9387,583.37
0.9386,583.37
0.9386,583.38
0.9385,583.38
0.9383,583.4
0.9382,583.4
0.9382,583.41
0.9381,583.41
0.938,583.42
0.9379,583.42
0.9379,583.43
0.9378,583.43
0.9377,583.44
0.9376,583.45
0.9375,583.45
0.9374,583.46
0.9373,583.46
0.9372,583.47
0.9371,583.47
0.937,583.48
0.9369,583.48
0.9368,583.49
0.9367,583.49
0.9366,583.5
0.9365,583.5
0.9364,583.51
0.9362,583.51
0.9362,583.52
0.936,583.52
0.936,583.53
0.9358,583.53
0.9358,583.54
0.9355,583.54
0.9355,583.55
0.9351,583.55
0.935,583.56
0.9348,583.56
0.9347,583.57
0.9346,583.57
0.9345,583.58
0.9344,583.58
0.9343,583.59
0.9341,583.59
0.9341,583.6
0.9339,583.6
0.9339,583.61
0.9337,583.61
0.9337,583.62
0.9335,583.62
0.9335,583.63
0.9333,583.63
0.9332,583.64
0.9331,583.64
0.933,583.65
0.9329,583.65
0.9328,583.66
0.9327,583.66
0.9326,583.67
0.9325,583.67
0.9324,583.68
0.9323,583.68
0.9322,583.69
0.9321,583.69
0.932,583.7
0.9319,583.7
0.9318,583.71
0.9317,583.71
0.9316,583.72
0.9315,583.72
0.9313,583.74
0.9312,583.74
0.9312,583.75
0.9311,583.75
0.931,583.76
0.9309,583.77
0.9308,583.77
0.9308,583.78
0.9306,583.78
0.9305,583.79
0.9304,583.79
0.9303,583.8
0.9302,583.8
0.9301,583.81
0.93,583.81
0.9299,583.82
0.9298,583.83
0.9297,583.83
0.9297,583.84
0.9296,583.84
0.9295,583.85
0.9294,583.85
0.9294,583.86
0.9293,583.86
0.9291,583.88
0.9289,583.88
0.9289,583.89
0.9287,583.89
0.9287,583.9
0.9285,583.9
0.9284,583.91
0.9283,583.91
0.9282,583.92
0.9281,583.92
0.928,583.93
0.9279,583.93
0.9278,583.94
0.9276,583.94
0.9276,583.95
0.9274,583.95
0.9274,583.96
0.9272,583.96
0.9271,583.97
0.927,583.97
0.9269,583.98
0.9268,583.98
0.9267,583.99
0.9266,583.99
0.9265,584
0.9263,584
0.9262,584.01
0.9258,584.01
0.9258,584.02
0.9254,584.02
0.9253,584.03
0.925,584.03
0.9249,584.04
0.9245,584.04
0.9245,584.05
0.924,584.05
0.9239,584.06
0.9237,584.06
0.9237,584.07
0.9235,584.07
0.9234,584.08
0.9233,584.08
0.9232,584.09
0.9231,584.09
0.923,584.1
0.9227,584.1
0.9226,584.11
0.9223,584.11
0.9222,584.12
0.922,584.12
0.9219,584.13
0.9218,584.13
0.9216,584.15
0.9215,584.15
0.9215,584.16
0.9214,584.16
0.9213,584.17
0.9212,584.17
0.9212,584.18
0.9211,584.18
0.921,584.19
0.9209,584.19
0.9208,584.2
0.9206,584.2
0.9206,584.21
0.9204,584.21
0.9204,584.22
0.9203,584.22
0.9202,584.23
0.9201,584.23
0.9201,584.24
0.92,584.24
0.9199,584.25
0.9198,584.25
0.9198,584.26
0.9197,584.26
0.9196,584.27
0.9195,584.27
0.9195,584.28
0.9193,584.28
0.9193,584.29
0.9191,584.29
0.919,584.3
0.9189,584.3
0.9188,584.31
0.9187,584.31
0.9186,584.32
0.9184,584.32
0.9184,584.33
0.9182,584.33
0.9182,584.34
0.918,584.34
0.9179,584.35
0.9178,584.35
0.9177,584.36
0.9176,584.36
0.9175,584.37
0.9173,584.37
0.9173,584.38
0.9171,584.38
0.9171,584.39
0.9169,584.39
0.9168,584.4
0.9167,584.4
0.9166,584.41
0.9165,584.41
0.9164,584.42
0.9162,584.42
0.9162,584.43
0.916,584.43
0.9159,584.44
0.9158,584.44
0.9157,584.45
0.9156,584.45
0.9155,584.46
0.9154,584.46
0.9153,584.47
0.9151,584.47
0.9151,584.48
0.9149,584.48
0.9149,584.49
0.9147,584.49
0.9146,584.5
0.9145,584.5
0.9144,584.51
0.9143,584.51
0.9142,584.52
0.9141,584.52
0.9141,584.53
0.914,584.53
0.9139,584.54
0.9138,584.55
0.9136,584.55
0.9136,584.56
0.9135,584.56
0.9134,584.57
0.9133,584.57
0.9133,584.58
0.9132,584.58
0.9131,584.59
0.913,584.59
0.9129,584.6
0.9128,584.6
0.9127,584.61
0.9126,584.61
0.9125,584.62
0.9124,584.62
0.9123,584.63
0.9122,584.63
0.9122,584.64
0.9121,584.64
0.9119,584.66
0.9118,584.66
0.9118,584.67
0.9117,584.67
0.9116,584.68
0.9115,584.69
0.9114,584.69
0.9113,584.7
0.9112,584.7
0.9111,584.71
0.911,584.71
0.911,584.72
0.9108,584.72
0.9108,584.73
0.9107,584.73
0.9106,584.74
0.9105,584.74
0.9104,584.75
0.9103,584.75
0.9103,584.76
0.9102,584.76
0.9101,584.77
0.91,584.77
0.9099,584.78
0.9098,584.78
0.9098,584.79
0.9097,584.79
0.9095,584.81
0.9094,584.81
0.9094,584.82
0.9093,584.82
0.9091,584.84
0.909,584.84
0.909,584.85
0.9089,584.85
0.9089,584.86
0.9088,584.86
0.9087,584.87
0.9086,584.87
0.9086,584.88
0.9085,584.88
0.9085,584.89
0.9084,584.89
0.9084,584.9
0.9083,584.9
0.9083,584.91
0.9082,584.91
0.908,584.93
0.9079,584.93
0.9079,584.94
0.9078,584.94
0.9078,584.95
0.9077,584.95
0.9077,584.96
0.9076,584.96
0.9076,584.97
0.9075,584.97
0.9075,584.98
0.9074,584.98
0.9072,585
0.9072,585.01
0.9071,585.01
0.9071,585.02
0.907,585.03
0.907,585.04
0.9069,585.04
0.9069,585.05
0.9068,585.05
0.9068,585.06
0.9067,585.07
0.9063,585.11
0.9063,585.12
0.9062,585.12
0.9062,585.13
0.9061,585.14
0.9061,585.15
0.906,585.15
0.906,585.16
0.9058,585.18
0.9057,585.19
0.9053,585.23
0.9053,585.24
0.9052,585.24
0.9052,585.25
0.9051,585.25
0.9051,585.26
0.905,585.26
0.905,585.27
0.9049,585.27
0.9049,585.28
0.9048,585.28
0.9048,585.29
0.9047,585.29
0.9047,585.3
0.9046,585.3
0.9046,585.31
0.9045,585.32
0.9044,585.32
0.9044,585.33
0.9043,585.33
0.9043,585.34
0.9042,585.34
0.9041,585.35
0.9041,585.36
0.904,585.36
0.904,585.37
0.9039,585.38
0.9039,585.39
0.9038,585.39
0.9038,585.4
0.9037,585.41
0.9037,585.42
0.9036,585.42
0.9036,585.43
0.9035,585.43
0.9035,585.44
0.9034,585.44
0.9034,585.45
0.9033,585.45
0.9033,585.46
0.9032,585.46
0.9032,585.48
0.9031,585.48
0.9031,585.5
0.903,585.51
0.903,585.53
0.9029,585.53
0.9029,585.55
0.9028,585.55
0.9028,585.57
0.9027,585.58
0.9027,585.6
0.9026,585.6
0.9026,585.62
0.9025,585.62
0.9025,585.63
0.9024,585.64
0.9024,585.65
0.9023,585.66
0.9023,585.68
0.9022,585.69
0.9022,585.71
0.9021,585.71
0.9021,585.73
0.902,585.73
0.902,585.74
0.9019,585.75
0.9019,585.76
0.9018,585.76
0.9018,585.78
0.9017,585.78
0.9017,585.8
0.9016,585.8
0.9016,585.82
0.9015,585.83
0.9015,585.85
0.9014,585.86
0.9014,585.88
0.9013,585.89
0.9013,585.91
0.9012,585.91
0.9012,585.93
0.9011,585.93
0.9011,585.96
0.901,585.96
0.901,585.97
0.9009,585.98
0.9009,585.99
0.9008,585.99
0.9008,586
0.9006,586
0.9006,586.01
0.9005,586.01
0.9005,586.03
0.9004,586.03
0.9004,586.05
0.9003,586.05
0.9003,586.07
0.9002,586.07
0.9002,586.1
0.9001,586.1
0.9001,586.14
0.8998,586.14
0.8998,586.15
0.8997,586.15
0.8997,586.17
0.8996,586.17
0.8996,586.18
0.8995,586.18
0.8995,586.2
0.8994,586.2
0.8994,586.22
0.8993,586.22
0.8993,586.25
0.8992,586.25
0.8992,586.27
0.8991,586.27
0.8991,586.3
0.899,586.3
0.899,586.32
0.8989,586.33
0.8989,586.35
0.8988,586.35
0.8988,586.37
0.8987,586.38
0.8987,586.4
0.8986,586.41
0.8986,586.45
0.8985,586.45
0.8985,586.5
0.8984,586.5
0.8984,586.53
0.8983,586.54
0.8983,586.57
0.8982,586.57
0.8982,586.61
0.8981,586.61
0.8981,586.67
0.898,586.68
0.898,586.76
0.8979,586.77
0.8979,586.85
0.8978,586.86
0.8978,586.91
0.8977,586.91
0.8977,586.95
0.8976,586.95
0.8976,586.99
0.8975,586.99
0.8975,587.04
0.8974,587.04
0.8974,587.08
0.8973,587.09
0.8973,587.13
0.8972,587.13
0.8972,587.16
0.8971,587.16
0.8971,587.17
0.897,587.17
0.897,587.19
0.8969,587.19
0.8969,587.22
0.8968,587.22
0.8968,587.24
0.8967,587.24
0.8967,587.27
0.8966,587.28
0.8966,587.31
0.8965,587.31
0.8965,587.35
0.8964,587.35
0.8964,587.38
0.8963,587.38
0.8963,587.41
0.8962,587.41
0.8962,587.44
0.8961,587.44
0.8961,587.46
0.896,587.46
0.896,587.49
0.8959,587.5
0.8959,587.54
0.8958,587.54
0.8958,587.57
0.8957,587.57
0.8957,587.62
0.8956,587.62
0.8956,587.65
0.8955,587.65
0.8955,587.69
0.8954,587.69
0.8954,587.72
0.8953,587.72
0.8953,587.75
0.8952,587.76
0.8952,587.8
0.8951,587.8
0.8951,587.85
0.895,587.85
0.895,587.89
0.8949,587.89
0.8949,587.91
0.8948,587.91
0.8948,587.93
0.8947,587.93
0.8947,587.95
0.8946,587.95
0.8946,587.96
0.8945,587.97
0.8945,588
0.8944,588
0.8944,588.03
0.8943,588.04
0.8943,588.07
0.8942,588.07
0.8942,588.11
0.8941,588.11
0.8941,588.17
0.894,588.17
0.894,588.21
0.8939,588.21
0.8939,588.24
0.8938,588.25
0.8938,588.28
0.8937,588.28
0.8937,588.3
0.8936,588.3
0.8936,588.31
0.8935,588.32
0.8935,588.33
0.8934,588.33
0.8934,588.35
0.8933,588.35
0.8933,588.36
0.8932,588.37
0.8932,588.38
0.8931,588.39
0.8931,588.42
0.893,588.42
0.893,588.45
0.8929,588.45
0.8929,588.47
0.8928,588.47
0.8928,588.5
0.8927,588.5
0.8927,588.53
0.8926,588.54
0.8926,588.56
0.8925,588.56
0.8925,588.58
0.8924,588.58
0.8924,588.6
0.8923,588.6
0.8923,588.64
0.8922,588.65
0.8922,588.68
0.8921,588.69
0.8921,588.72
0.892,588.72
0.892,588.75
0.8919,588.75
0.8919,588.78
0.8918,588.79
0.8918,588.8
0.8917,588.8
0.8917,588.82
0.8916,588.82
0.8916,588.83
0.8915,588.84
0.8915,588.86
0.8914,588.87
0.8914,588.91
0.8913,588.91
0.8913,588.96
0.8912,588.96
0.8912,589
0.8911,589.01
0.8911,589.04
0.891,589.05
0.891,589.09
0.8909,589.09
0.8909,589.11
0.8908,589.11
0.8908,589.13
0.8907,589.13
0.8907,589.15
0.8906,589.15
0.8906,589.17
0.8905,589.17
0.8905,589.2
0.8904,589.2
0.8904,589.22
0.8903,589.22
0.8903,589.27
0.8902,589.28
0.8902,589.31
0.8901,589.31
0.8901,589.34
0.89,589.34
0.89,589.36
