DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5,DISTANCE_MA1,TEMPERATURE_MA1,TIME_MA1,RETRACAO_MA1,DISTANCE_MA3,TEMPERATURE_MA3,TIME_MA3,RETRACAO_MA3
1052.15361,555.05,-192273.70992,1.00098,1052.346388888889,555.5,-189681.12043500005,1.0004272222222224,1051.82019,555.4,-190415.18696,1.00193
1052.1595,555.15,-191719.82336,1.00096,1051.0916666666667,555.6,-188980.420575,1.0040058333333337,1051.60782,555.5,-189714.4871,1.00254
1052.15328,555.25,-191172.61014,1.00098,1051.7319444444447,555.7,-188580.020655,1.0021750000000005,1051.72333,555.6,-189080.52055,1.0022
1051.99992,555.35,-190612.05025,1.00142,1051.3913888888883,555.8,-187979.42077500004,1.0031530555555557,1051.405,555.7,-188513.28733,1.00311
1051.94393,555.45,-190041.48036,1.00158,1051.559583333333,555.9,-187478.920875,1.0026708333333334,1051.56097,555.8,-188012.78743,1.00267
1051.79926,555.55,-189500.94047,1.00199,1050.9166666666667,556.0,-187178.62093499998,1.0045066666666669,1051.28921,555.9,-187545.65419,1.00344
1051.7061,555.65,-188960.40058,1.00226,1051.6750000000004,556.1,-186578.021055,1.0023503333333332,1051.38375,556.0,-187078.52095,1.00318
1051.5886,555.75,-188389.83069,1.00259,1052.0591666666664,556.2,-185877.321195,1.0012375000000002,1051.55028,556.1,-186544.65439,1.0027
1051.59431,555.85,-187829.27081,1.00257,1051.7858333333334,556.3,-185476.921275,1.0020379166666669,1051.84,556.2,-185977.42117,1.00188
1051.62374,555.95,-187278.72092,1.00249,1051.6797222222224,556.4,-184976.42137500003,1.0023319444444443,1051.84157,556.3,-185443.55461,1.00187
1051.58165,556.05,-186748.19102,1.00261,1051.9255555555555,556.5,-184375.821495,1.0016244444444444,1051.79704,556.4,-184943.05471,1.002
1051.72513,556.15,-186227.67113,1.0022,1052.5263888888887,556.6,-183775.22161500005,0.999905277777778,1052.04389,556.5,-184375.82149,1.00129
1051.74001,556.25,-185707.15123,1.00216,1051.8808333333334,556.7,-183374.821695,1.0017433333333334,1052.11093,556.6,-183841.95493,1.00109
1051.63938,556.35,-185191.63633,1.00245,1050.3849999999998,556.8,-182824.27180500003,1.0060449999999996,1051.59741,556.7,-183324.7717,1.00256
1051.64583,556.45,-184681.12643,1.00243,1051.6241666666672,556.9,-182373.82189500003,1.0024833333333334,1051.29667,556.8,-182857.63846,1.00342
1051.71192,556.55,-184140.58654,1.00224,1051.5775,557.0,-181773.222015,1.0026305555555557,1051.19556,556.9,-182323.7719,1.00372
1051.7175,556.65,-183600.04665,1.00222,1051.7308333333333,557.1,-181172.62213499998,1.002172222222223,1051.64417,557.0,-181773.22201,1.00243
1051.68306,556.75,-183069.51676,1.00232,1051.7147222222222,557.2,-180572.022255,1.0022188888888892,1051.67435,557.1,-181172.62213,1.00234
1051.72881,556.85,-182518.96687,1.00219,1052.2433333333329,557.3,-179971.422375,1.0007033333333333,1051.8963,557.2,-180572.02225,1.0017
1051.67792,556.95,-182005.1203,1.00233,1051.1708333333336,557.4,-179837.955735,1.0037972222222218,1051.70963,557.3,-180127.13345,1.00224
1051.54649,557.05,-181494.6104,1.00271,1050.6112499999997,557.5,-179270.72251500003,1.0053929166666666,1051.34181,557.4,-179693.36687,1.0033
1051.3279,557.15,-180994.1105,1.00333,1050.3405555555555,557.6,-178770.22261500004,1.0061622222222226,1050.70755,557.5,-179292.96695,1.00512
1051.25918,557.25,-180473.59061,1.00353,1051.1936111111113,557.7,-178169.62273500004,1.0037163888888891,1050.71514,557.6,-178736.85596,1.00509
1051.30621,557.35,-179948.06571,1.0034,1050.8552777777775,557.8,-177569.02285500005,1.004679166666667,1050.79648,557.7,-178169.62274,1.00485
1051.15452,557.45,-179397.51582,1.00383,1050.1072916666667,557.9,-176868.32299500005,1.006838541666667,1050.71873,557.8,-177535.65619,1.00508
1050.97991,557.56,-178830.2826,1.00433,1049.8313888888888,558.1,-176100.88981500003,1.0076466666666668,1050.26465,557.93333,-176846.07855,1.00639
1050.91743,557.67,-178264.71772,1.00451,1051.1060416666667,558.2,-175516.97326500007,1.0039808333333335,1050.34824,558.06667,-176162.06202,1.00616
1050.72774,557.78,-177684.13783,1.00506,1049.8177777777778,558.3,-174766.22341500004,1.0076663888888888,1050.25174,558.2,-175461.36216,1.00643
1050.49378,557.89,-177113.56795,1.00573,1049.9037499999997,558.4,-174265.72351500002,1.007432083333333,1050.27586,558.3,-174849.64006,1.00636
1050.49894,558.0,-176516.30473,1.00572,1051.2224999999996,558.5,-173865.323595,1.0036508333333336,1050.31468,558.4,-174299.09017,1.00625
1050.51017,558.11,-175905.69485,1.00568,1050.723541666667,558.6,-173164.623735,1.0050622916666672,1050.6166,558.5,-173765.22361,1.00538
1050.63208,558.22,-175315.10497,1.00534,1051.5595833333334,558.7,-172864.32379500006,1.0026787499999998,1051.16854,558.6,-173298.09037,1.0038
1050.50988,558.33,-174714.50509,1.00569,1049.9716666666664,558.8,-172163.62393500007,1.0072249999999998,1050.7516,558.7,-172730.85716,1.00499
1050.42395,558.44,-174117.90921,1.00593,1049.996,558.9,-171603.06404700002,1.0071628333333342,1050.50908,558.8,-172210.33726,1.00569
1050.25773,558.55,-173527.31933,1.00641,1048.445,559.0,-170962.42417500002,1.0116425,1049.47089,558.9,-171576.37072,1.00868
1050.42181,558.65,-172973.43277,1.00594,1051.4722222222224,559.1,-170562.024255,1.0029280555555558,1049.97107,559.0,-171042.50416,1.00724
1050.29412,558.75,-172427.88788,1.00631,1049.8291666666667,559.2,-170061.52435500006,1.0076304166666668,1049.91546,559.1,-170528.6576,1.0074
1050.3948,558.85,-171897.35799,1.00602,1050.8245833333342,559.3,-169460.92447500007,1.0047829166666669,1050.70866,559.2,-170028.1577,1.00511
1050.64493,558.95,-171366.82809,1.0053,1052.4049999999997,559.4,-168960.42457500007,1.0002441666666664,1051.01958,559.3,-169494.29114,1.00422
1050.46809,559.05,-170826.2882,1.00581,1049.4541666666667,559.5,-168459.92467500002,1.0087258333333329,1050.89458,559.4,-168960.42458,1.00458
1050.47066,559.15,-170305.76831,1.0058,1050.7491666666667,559.6,-167959.424775,1.0049916666666665,1050.86944,559.5,-168459.92468,1.00465
1050.32907,559.25,-169760.22342,1.00621,1050.1437500000004,559.7,-167408.87488500006,1.00675125,1050.11569,559.6,-167942.74145,1.00682
1050.35446,559.35,-169226.35686,1.00614,1050.225555555555,559.8,-166824.958335,1.0064911111111114,1050.37282,559.7,-167397.75267,1.00608
1050.32728,559.45,-168701.83296,1.00621,1049.7241666666664,559.9,-166357.825095,1.0079391666666668,1050.03116,559.8,-166863.88611,1.00706
1050.32,559.55,-168201.33306,1.00623,1048.372222222222,560.0,-165957.42517500007,1.0118430555555555,1049.44065,559.9,-166380.06954,1.00876
1050.0594,559.65,-167665.79817,1.00698,1048.8662500000007,560.1,-165206.67532500002,1.0104239583333336,1048.98755,560.0,-165840.64187,1.01007
1049.90765,559.75,-167135.26827,1.00742,1048.3116666666665,560.2,-164756.22541500002,1.01202125,1048.51671,560.1,-165306.77531,1.01143
1049.88065,559.85,-166614.74838,1.0075,1050.5545833333329,560.3,-164255.725515,1.0055400000000003,1049.24417,560.2,-164739.54209,1.00933
